"source","run","pollutant","level","unit","instrument","mean_h1","mean_h2","mean_h3","mean_value","sd_value","u_value","n_hours","hour_starts"
"ronda_participante",1,"co","0-µmol/mol","µmol/mol","p1",0.035,NA,NA,0.035,0.02,0.003,1,"2026-04-23 12:30:00"
"ronda_participante",2,"co","6.3-µmol/mol","µmol/mol","p1",6.493,6.5,6.474,6.489,0.013,0.008,3,"2026-04-23 14:03:00|2026-04-23 15:03:00|2026-04-23 16:03:00"
"ronda_participante",3,"co","4.2-µmol/mol","µmol/mol","p1",4.343,4.322,4.305,4.323,0.019,0.011,3,"2026-04-23 17:03:00|2026-04-23 18:03:00|2026-04-23 19:03:00"
"ronda_participante",4,"co","2.8-µmol/mol","µmol/mol","p1",2.877,2.87,2.86,2.869,0.009,0.005,3,"2026-04-23 20:06:00|2026-04-23 21:06:00|2026-04-23 22:06:00"
"ronda_participante",5,"co","1.4-µmol/mol","µmol/mol","p1",1.47,1.451,1.456,1.459,0.01,0.006,3,"2026-04-23 23:03:00|2026-04-24 00:03:00|2026-04-24 01:03:00"
"ronda_participante",1,"so2","0-nmol/mol","nmol/mol","p1",0.272,NA,NA,0.272,0.218,0.028,1,"2026-04-23 12:30:00"
"ronda_participante",2,"so2","179-nmol/mol","nmol/mol","p1",183.457,184.818,185.329,184.535,0.968,0.559,3,"2026-04-23 14:03:00|2026-04-23 15:03:00|2026-04-23 16:03:00"
"ronda_participante",3,"so2","119-nmol/mol","nmol/mol","p1",123.517,122.963,122.794,123.091,0.378,0.218,3,"2026-04-23 17:03:00|2026-04-23 18:03:00|2026-04-23 19:03:00"
"ronda_participante",4,"so2","80-nmol/mol","nmol/mol","p1",81.687,81.696,80.956,81.446,0.425,0.245,3,"2026-04-23 20:06:00|2026-04-23 21:06:00|2026-04-23 22:06:00"
"ronda_participante",5,"so2","40-nmol/mol","nmol/mol","p1",40.772,40.898,40.707,40.792,0.097,0.056,3,"2026-04-23 23:03:00|2026-04-24 00:03:00|2026-04-24 01:03:00"
